Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX8071512900KS,Intel,Core i9-12900KS,1,115,718,https://cpu.userbenchmark.com/SpeedTest/1821519/12th-Gen-IntelR-CoreTM-i9-12900KS
CPU,BX8071512900K,Intel,Core i9-12900K,2,114,29372,https://cpu.userbenchmark.com/Intel-Core-i9-12900K/Rating/4118
CPU,BX8071512900KF,Intel,Core i9-12900KF,3,114,6052,https://cpu.userbenchmark.com/SpeedTest/1685583/12th-Gen-IntelR-CoreTM-i9-12900KF
CPU,BX8071512700KF,Intel,Core i7-12700KF,4,112,13618,https://cpu.userbenchmark.com/SpeedTest/1699429/12th-Gen-IntelR-CoreTM-i7-12700KF
CPU,BX8071512700K,Intel,Core i7-12700K,5,112,36054,https://cpu.userbenchmark.com/Intel-Core-i7-12700K/Rating/4119
CPU,BX8071512900F,Intel,Core i9-12900F,6,111,253,https://cpu.userbenchmark.com/SpeedTest/1757838/12th-Gen-IntelR-CoreTM-i9-12900F
CPU,,Intel,Core i9-12900HX,7,110,3,https://cpu.userbenchmark.com/SpeedTest/1832602/12th-Gen-IntelR-CoreTM-i9-12900HX
CPU,BX8071512900,Intel,Core i9-12900,8,110,281,https://cpu.userbenchmark.com/SpeedTest/1668917/12th-Gen-IntelR-CoreTM-i9-12900
CPU,BX8071512600K,Intel,Core i5-12600K,9,109,26188,https://cpu.userbenchmark.com/Intel-Core-i5-12600K/Rating/4120
CPU,BX8071512600KF,Intel,Core i5-12600KF,10,108,5933,https://cpu.userbenchmark.com/SpeedTest/1700734/12th-Gen-IntelR-CoreTM-i5-12600KF
CPU,BX8071512700F,Intel,Core i7-12700F,11,108,2511,https://cpu.userbenchmark.com/Intel-Core-i7-12700F/Rating/4124
CPU,BX8071512700,Intel,Core i7-12700,12,107,3274,https://cpu.userbenchmark.com/SpeedTest/1750830/12th-Gen-IntelR-CoreTM-i7-12700
CPU,,Intel,Core i7-12650HX,13,104,1,https://cpu.userbenchmark.com/SpeedTest/1798547/12th-Gen-IntelR-CoreTM-i7-12650HX
CPU,,Intel,Core i9-12950HX,14,104,3,https://cpu.userbenchmark.com/SpeedTest/1842274/12th-Gen-IntelR-CoreTM-i9-12950HX
CPU,BX8070811900KF,Intel,Core i9-11900KF,15,103,5676,https://cpu.userbenchmark.com/SpeedTest/1515781/11th-Gen-IntelR-CoreTM-i9-11900KF---350GHz
CPU,BX8070811900K,Intel,Core i9-11900K,16,103,28541,https://cpu.userbenchmark.com/Intel-Core-i9-11900K/Rating/4110
CPU,100-100000059WOF,AMD,Ryzen 9 5950X,17,102,61351,https://cpu.userbenchmark.com/AMD-Ryzen-9-5950X/Rating/4086
CPU,100-100000061WOF,AMD,Ryzen 9 5900X,18,102,131751,https://cpu.userbenchmark.com/AMD-Ryzen-9-5900X/Rating/4087
CPU,BX8070811700K,Intel,Core i7-11700K,19,101,50558,https://cpu.userbenchmark.com/Intel-Core-i7-11700K/Rating/4107
CPU,BX8071512600,Intel,Core i5-12600,20,101,919,https://cpu.userbenchmark.com/SpeedTest/1751978/12th-Gen-IntelR-CoreTM-i5-12600
CPU,BX8070811700KF,Intel,Core i7-11700KF,21,101,14302,https://cpu.userbenchmark.com/SpeedTest/1514594/11th-Gen-IntelR-CoreTM-i7-11700KF---360GHz
CPU,,AMD,Ryzen 9 5900,22,100,795,https://cpu.userbenchmark.com/SpeedTest/1528736/AMD-Ryzen-9-5900-12-Core-Processor
CPU,100-100000651WOF,AMD,Ryzen 7 5800X3D,23,99.6,1374,https://cpu.userbenchmark.com/SpeedTest/1817839/AMD-Ryzen-7-5800X3D-8-Core-Processor
